1932,01.45,05.15,00.42,00.50,00.01,00.01,00.00,00.00,00.00,01.10,00.30,02.40
1933,04.32,00.02,00.13,01.75,00.53,00.08,00.02,00.01,00.02,00.16,00.03,01.10
1934,00.30,01.88,00.24,00.01,00.02,00.47,00.00,00.02,00.18,00.42,01.95,03.38
1935,02.15,04.54,01.42,01.02,00.02,00.00,00.00,00.18,00.01,00.05,00.07,00.74
1936,00.75,05.18,00.92,00.48,00.00,00.01,00.01,00.28,00.04,01.86,00.44,04.45
1937,01.52,04.22,02.65,00.13,00.32,00.01,00.16,00.00,00.00,00.00,00.02,01.06
1938,00.89,03.26,03.73,00.44,00.15,00.01,00.00,00.03,00.00,00.23,00.02,04.25
1939,02.38,01.23,01.17,00.47,00.01,00.00,00.00,00.00,03.14,00.62,01.13,00.54
1940,02.15,03.56,00.82,00.46,00.00,00.00,00.00,00.00,00.08,01.50,00.49,06.09
1941,02.03,05.31,05.89,03.35,00.00,00.00,00.06,00.03,00.28,02.90,02.23,02.85
1942,00.21,01.06,01.91,01.40,00.11,00.01,00.00,00.00,00.00,00.27,00.27,00.69
1943,06.26,01.40,01.66,00.52,00.02,00.01,00.00,00.00,00.04,00.20,00.03,07.60
1944,01.22,03.65,00.80,00.61,00.22,00.10,00.00,00.00,00.00,00.00,04.93,01.53
1945,00.42,01.91,02.03,00.03,00.04,00.15,00.00,00.87,00.03,00.00,00.13,03.62
1946,00.89,00.60,02.67,00.52,00.01,00.00,00.00,00.00,00.00,00.34,02.53,01.18
1947,00.35,00.43,00.97,00.36,00.17,00.00,00.00,00.00,00.18,00.08,00.72,03.02
1948,00.00,01.07,01.60,00.13,00.01,00.02,00.00,00.00,00.00,01.32,00.10,02.38
1949,03.56,01.81,00.75,00.09,00.41,00.00,00.00,00.00,00.00,00.23,01.16,00.86
1950,03.31,01.62,01.00,00.28,00.09,00.00,00.08,00.00,00.00,00.01,01.23,00.05
1951,01.60,00.50,00.50,01.95,00.00,00.00,00.00,00.85,00.04,00.68,01.23,03.87
1952,04.24,00.60,04.97,01.54,00.00,00.14,00.00,00.00,00.00,00.00,01.83,02.20
1953,00.58,00.58,00.79,00.33,00.09,00.14,00.00,00.00,00.00,00.07,00.80,00.03
1954,02.76,01.03,04.31,00.09,00.01,00.03,00.00,00.00,00.00,00.00,00.74,00.55
1955,03.59,00.56,00.38,00.90,00.49,00.00,00.00,00.11,00.00,00.00,00.55,00.33
1956,01.65,00.22,00.00,01.56,00.10,00.00,00.00,00.00,00.00,00.68,00.00,00.18
1957,04.80,00.50,00.75,00.84,00.88,00.26,00.00,00.00,00.37,01.76,00.59,01.38
1958,00.62,03.15,03.98,01.65,00.40,00.00,00.00,00.00,00.62,00.01,00.44,00.06
1959,00.08,03.76,00.00,00.31,00.00,00.00,00.00,00.00,00.04,00.23,00.02,01.44
1960,02.99,01.45,00.55,00.56,00.17,00.00,00.00,00.00,00.06,00.04,01.01,00.22
1961,01.21,00.06,00.85,00.00,00.01,00.00,00.00,00.04,00.00,00.20,00.79,01.45
1962,02.71,03.08,00.64,00.01,00.62,00.09,00.00,00.00,00.00,00.01,00.01,00.22
1963,00.11,01.22,01.33,00.71,00.09,00.28,00.00,00.00,01.90,00.13,01.85,00.10
1964,01.30,00.37,00.97,00.20,00.15,00.08,00.00,00.00,00.00,00.02,01.01,01.17
1965,00.40,00.52,01.79,03.58,00.00,00.01,00.02,00.00,00.29,00.00,05.82,06.60
1966,01.29,00.86,00.17,00.00,00.02,00.00,00.00,00.00,00.00,00.80,00.82,03.22
1967,02.20,00.00,01.14,02.24,00.05,00.16,00.01,00.14,00.08,00.00,03.53,01.66
1968,00.35,00.22,01.55,00.34,00.08,00.00,00.13,00.00,00.00,00.04,00.36,00.61
